2025-08-13 14:25:32 - sentiment_dashboard - INFO - ✓ Loaded Sentiment Evaluator from OptimizedDualMultimodalEvaluator
2025-08-13 14:25:32 - sentiment_dashboard - INFO - Starting Sentiment Analysis Dashboard...
2025-08-13 14:25:32 - sentiment_dashboard - INFO - ============================================================
2025-08-13 14:25:32 - sentiment_dashboard - INFO - Initializing Sentiment Analysis Dashboard
2025-08-13 14:25:32 - sentiment_dashboard - INFO - ============================================================
2025-08-13 14:25:34 - sentiment_dashboard - INFO - ✓ Loaded Transcription Model from /srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/transcription/w2v-bert-darija-finetuned-clean
2025-08-13 14:25:35 - sentiment_dashboard - INFO - ✓ Loaded VAD Pipeline from pyannote/voice-activity-detection
2025-08-13 14:25:35 - sentiment_dashboard - INFO - Application initialized successfully
2025-08-13 14:25:35 - sentiment_dashboard - INFO - Dashboard created successfully
2025-08-13 14:25:35 - sentiment_dashboard - INFO - Configuration: {'model': {'transcription_model_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/transcription/w2v-bert-darija-finetuned-clean', 'vad_model_id': 'pyannote/voice-activity-detection', 'agent_text_model_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/agent/text/best_model', 'agent_acoustic_model_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/agent/acoustic/randomforest_acoustic_model.joblib', 'agent_acoustic_scaler_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/agent/acoustic/acoustic_scaler.joblib', 'client_text_model_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/client/text/best_model', 'client_acoustic_model_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/client/acoustic/svm_acoustic_model.joblib', 'client_acoustic_scaler_path': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/models/client/acoustic/acoustic_scaler.joblib', 'agent_weights': {'text': 0.54, 'acoustic': 0.46}, 'client_weights': {'text': 0.42, 'acoustic': 0.58}}, 'audio': {'original_sample_rate': 8000, 'target_sample_rate': 16000, 'chunk_duration_sec': 25.0, 'chunk_overlap_sec': 1.0, 'vad_gap_threshold': 0.8, 'vad_padding': 0.5, 'batch_size': 8, 'max_audio_length_sec': 1800, 'supported_formats': ['.wav', '.ogg']}, 'gradio': {'share': True, 'server_name': '0.0.0.0', 'server_port': 7861, 'auth': None, 'max_threads': 10, 'show_error': True, 'quiet': False, 'show_api': False, 'temp_dir': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/GradioTEMP/.gradio_temp', 'cache_dir': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/GradioTEMP/.gradio'}, 'aws': {'region': 'eu-central-1', 'bedrock_region': 'us-west-2', 'summary_model_id': 'anthropic.claude-3-5-sonnet-20240620-v1:0', 'class_model_id': 'anthropic.claude-3-5-sonnet-20240620-v1:0', 'max_tokens_summary': 300, 'max_tokens_class': 3, 'temperature': 0.0}, 'data': {'darija_french_dict': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/utils/darija_french_conversion.xlsx', 'topics_glossary': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/utils/glossaire B2C.xlsx', 'inwi_logo': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/logos/logo_inwi.png', 'clever_logo': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/logos/Cleverlytics-orange.png'}, 'logging': {'log_level': 'INFO', 'log_file': '/srv/lustre01/project/chatgpt_os-gtcy1ct0blo/shared/demo_final/logs/dashboard.log', 'log_format': '%(asctime)s - %(name)s - %(levelname)s - %(message)s', 'log_rotation': 'midnight', 'log_retention_days': 30}, 'performance': {'use_gpu': True, 'gpu_device': 'cuda', 'clear_cache_after_chunks': 10, 'max_cached_chunks': 50, 'enable_parallel_processing': True, 'max_workers': 8}, 'sentiment': {'agent_sentiments': ['aggressive', 'courtois', 'neutre', 'sec'], 'client_sentiments': ['content', 'neutre', 'mecontent', 'tres mecontent'], 'sentiment_display': {'content': 'Content', 'mecontent': 'Mécontent', 'tres mecontent': 'Très Mécontent', 'neutre': 'Neutre', 'aggressive': 'Agressif', 'sec': 'Sec', 'courtois': 'Courtois'}}}
2025-08-13 14:26:11 - sentiment_dashboard - INFO - Processing audio: 01670387a8d68f14.ogg, duration=524.6s, sample_rate=8000Hz
2025-08-13 14:26:11 - sentiment_dashboard - INFO - Processing audio: 01670387a8d68f14.ogg, duration=524.6s, sample_rate=8000Hz
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=neutre, fusion=tres mecontent
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=aggressive, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=sec, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=neutre, fusion=tres mecontent
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=neutre, fusion=neutre
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:21 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:26:22 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
